starttime	seconds	ctime	dtime	ttime	wait
Wed Feb 22 15:41:46 2017	1487774506	2	798	800	769
Wed Feb 22 15:42:06 2017	1487774526	1	799	800	793
Wed Feb 22 15:42:02 2017	1487774522	1	800	801	760
Wed Feb 22 15:41:46 2017	1487774506	1	800	802	764
Wed Feb 22 15:42:08 2017	1487774528	1	801	803	763
Wed Feb 22 15:42:04 2017	1487774524	1	803	805	765
Wed Feb 22 15:42:05 2017	1487774525	2	803	805	803
Wed Feb 22 15:41:45 2017	1487774505	1	804	805	765
Wed Feb 22 15:42:08 2017	1487774528	1	804	805	764
Wed Feb 22 15:42:08 2017	1487774528	1	804	805	772
Wed Feb 22 15:42:04 2017	1487774524	1	805	806	786
Wed Feb 22 15:42:05 2017	1487774525	2	805	806	776
Wed Feb 22 15:41:46 2017	1487774506	2	806	808	738
Wed Feb 22 15:42:05 2017	1487774525	2	807	808	760
Wed Feb 22 15:41:42 2017	1487774502	1	807	809	728
Wed Feb 22 15:41:46 2017	1487774506	2	807	809	792
Wed Feb 22 15:42:05 2017	1487774525	1	809	810	745
Wed Feb 22 15:42:06 2017	1487774526	1	812	814	774
Wed Feb 22 15:42:06 2017	1487774526	1	813	815	769
Wed Feb 22 15:41:46 2017	1487774506	1	814	815	750
Wed Feb 22 15:41:45 2017	1487774505	1	816	818	754
Wed Feb 22 15:41:39 2017	1487774499	2	817	819	813
Wed Feb 22 15:42:04 2017	1487774524	1	819	820	769
Wed Feb 22 15:41:45 2017	1487774505	1	819	821	784
Wed Feb 22 15:41:42 2017	1487774502	1	819	821	781
Wed Feb 22 15:41:41 2017	1487774501	2	820	822	742
Wed Feb 22 15:42:09 2017	1487774529	2	821	823	765
Wed Feb 22 15:41:46 2017	1487774506	1	822	823	789
Wed Feb 22 15:41:51 2017	1487774511	1	822	824	774
Wed Feb 22 15:41:45 2017	1487774505	1	822	824	765
Wed Feb 22 15:41:45 2017	1487774505	1	822	824	766
Wed Feb 22 15:41:40 2017	1487774500	1	823	825	779
Wed Feb 22 15:42:10 2017	1487774530	1	823	825	748
Wed Feb 22 15:41:42 2017	1487774502	1	824	826	805
Wed Feb 22 15:41:42 2017	1487774502	1	826	827	816
Wed Feb 22 15:41:43 2017	1487774503	1	827	828	820
Wed Feb 22 15:41:46 2017	1487774506	1	829	830	777
Wed Feb 22 15:41:45 2017	1487774505	1	830	831	776
Wed Feb 22 15:41:46 2017	1487774506	2	831	833	779
Wed Feb 22 15:41:43 2017	1487774503	1	832	833	776
Wed Feb 22 15:42:05 2017	1487774525	2	832	834	778
Wed Feb 22 15:41:41 2017	1487774501	1	833	834	798
Wed Feb 22 15:41:41 2017	1487774501	1	833	835	808
Wed Feb 22 15:42:10 2017	1487774530	1	836	837	804
Wed Feb 22 15:42:11 2017	1487774531	1	837	838	780
Wed Feb 22 15:41:40 2017	1487774500	1	840	841	796
Wed Feb 22 15:42:10 2017	1487774530	1	841	842	826
Wed Feb 22 15:42:05 2017	1487774525	1	841	842	816
Wed Feb 22 15:41:45 2017	1487774505	2	841	843	810
Wed Feb 22 15:41:45 2017	1487774505	1	843	844	806
Wed Feb 22 15:41:47 2017	1487774507	1	846	847	813
Wed Feb 22 15:41:40 2017	1487774500	2	847	848	778
Wed Feb 22 15:41:43 2017	1487774503	1	852	853	796
